word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
"maya, mayal",,2pl_s,2nd plural intransitive subject,,,"`maya' is used for agentive S, `mayal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
mayal,,2pl_o,2nd plural transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"mayaʔkhe, mayal",,2pl_p,2nd plural possessive,,,"`mayaʔkhe' = alienable possession, `mayal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
mu:kinʔ,,3sg_m_a,3rd singular gender1 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"mu:kinʔ, mu:kito",,3sg_m_s,3rd singular gender1 intransitive subject,,,"`mu:kinʔ' is used for agentive S, `mu:kito' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
mu:kito,,3sg_m_o,3rd singular gender1 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"mu:kinʔkhe, mu:kito",,3sg_m_p,3rd singular gender1 possessive,,,"`mu:kinʔkhe' = alienable possession, `mu:kito' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
manʔ,,3sg_f_a,3rd singular gender2 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"manʔ, ma:dal",,3sg_f_s,3rd singular gender2 intransitive subject,,,"`manʔ' is used for agentive S, `ma:dal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:dal,,3sg_f_o,3rd singular gender2 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:daʔkhe, ma:dal",,3sg_f_p,3rd singular gender2 possessive,,,"`ma:daʔkhe' = alienable possession, `ma:dal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3d-a,3rd dual transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3d-s,3rd dual intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3d-o,3rd dual transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3d-p,3rd dual possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3p-a,3rd plural transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3p-s,3rd plural intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3p-o,3rd plural transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3p-p,3rd plural possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3du_m_a,3rd dual gender1 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3du_m_s,3rd dual gender1 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3du_m_o,3rd dual gender1 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3du_m_p,3rd dual gender1 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3du_f_a,3rd dual gender2 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3du_f_s,3rd dual gender2 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3du_f_o,3rd dual gender2 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3du_f_p,3rd dual gender2 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3du_n_a,3rd dual gender3 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3du_n_s,3rd dual gender3 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3du_n_o,3rd dual gender3 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3du_n_p,3rd dual gender3 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3pl_m_a,3rd plural gender1 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3pl_m_s,3rd plural gender1 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3pl_m_o,3rd plural gender1 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3pl_m_p,3rd plural gender1 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3pl_f_a,3rd plural gender2 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3pl_f_s,3rd plural gender2 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3pl_f_o,3rd plural gender2 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3pl_f_p,3rd plural gender2 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3pl_n_a,3rd plural gender3 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3pl_n_s,3rd plural gender3 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3pl_n_o,3rd plural gender3 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3pl_n_p,3rd plural gender3 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:caʔ,,3sg_n_a,3rd singular gender3 transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔ, ma:cal",,3sg_n_s,3rd singular gender3 intransitive subject,,,"`ma:caʔ' is used for agentive S, `ma:cal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma:cal,,3sg_n_o,3rd singular gender3 transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma:caʔkhe, ma:cal",,3sg_n_p,3rd singular gender3 possessive,,,"`ma:caʔkhe' = alienable possession, `ma:cal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
